id,group,item1,item2,item3,item4,item5,score
R001,group_A,5,5,5,5,5,5.0000
R002,group_A,5,5,5,5,5,5.0000
R003,group_A,5,5,5,5,5,5.0000
R004,group_A,5,5,5,5,5,5.0000
R005,group_A,5,5,5,5,5,5.0000
R006,group_A,5,5,5,5,5,5.0000
R007,group_A,5,5,5,5,5,5.0000
R008,group_A,5,5,5,5,5,5.0000
R009,group_A,5,5,5,5,5,5.0000
R010,group_A,5,5,5,5,5,5.0000
R011,group_A,5,5,5,5,5,5.0000
R012,group_A,5,5,5,5,5,5.0000
R013,group_A,5,5,5,5,5,5.0000
R014,group_A,5,5,5,5,5,5.0000
R015,group_A,5,5,5,5,5,5.0000
R016,group_A,5,5,5,5,5,5.0000
R017,group_A,5,5,5,5,5,5.0000
R018,group_A,5,5,5,5,5,5.0000
R019,group_A,5,5,5,5,5,5.0000
R020,group_A,5,5,5,5,5,5.0000
R021,group_A,5,5,5,5,5,5.0000
R022,group_A,5,5,5,5,5,5.0000
R023,group_A,5,5,5,5,5,5.0000
R024,group_A,5,5,5,5,5,5.0000
R025,group_A,5,5,5,5,5,5.0000
R026,group_A,5,5,5,5,5,5.0000
R027,group_A,5,5,5,5,5,5.0000
R028,group_A,5,5,5,5,5,5.0000
R029,group_A,5,5,5,5,5,5.0000
R030,group_A,5,5,5,5,5,5.0000
R031,group_A,5,5,5,5,5,5.0000
R032,group_A,5,5,5,5,5,5.0000
R033,group_A,5,5,5,5,5,5.0000
R034,group_A,5,5,5,5,5,5.0000
R035,group_A,5,5,5,5,5,5.0000
R036,group_A,5,5,5,5,5,5.0000
R037,group_A,5,5,5,5,5,5.0000
R038,group_A,5,5,5,5,5,5.0000
R039,group_A,5,5,5,5,5,5.0000
R040,group_A,5,5,5,5,5,5.0000
R041,group_A,5,5,5,5,5,5.0000
R042,group_A,5,5,5,5,5,5.0000
R043,group_A,5,5,5,5,5,5.0000
R044,group_A,5,5,5,5,5,5.0000
R045,group_A,5,5,5,5,5,5.0000
R046,group_A,5,5,5,5,5,5.0000
R047,group_A,5,5,5,5,5,5.0000
R048,group_A,5,5,5,5,5,5.0000
R049,group_A,5,5,5,5,5,5.0000
R050,group_A,5,5,5,5,5,5.0000
R051,group_A,5,5,5,5,5,5.0000
R052,group_A,5,5,5,5,5,5.0000
R053,group_A,5,5,5,5,5,5.0000
R054,group_A,5,5,5,5,5,5.0000
R055,group_A,5,5,5,5,5,5.0000
R056,group_A,5,5,5,5,5,5.0000
R057,group_A,5,5,5,5,5,5.0000
R058,group_A,5,5,5,5,5,5.0000
R059,group_A,5,5,5,5,5,5.0000
R060,group_A,5,5,5,5,5,5.0000
R061,group_A,5,5,5,5,5,5.0000
R062,group_A,5,5,5,5,5,5.0000
R063,group_A,5,5,5,5,5,5.0000
R064,group_A,5,5,5,5,5,5.0000
R065,group_A,5,5,5,5,5,5.0000
R066,group_A,5,5,5,5,5,5.0000
R067,group_A,5,5,5,5,5,5.0000
R068,group_A,5,5,5,5,5,5.0000
R069,group_A,5,5,5,5,5,5.0000
R070,group_A,5,5,5,5,5,5.0000
R071,group_A,5,5,5,5,5,5.0000
R072,group_A,5,5,5,5,5,5.0000
R073,group_A,5,5,5,5,5,5.0000
R074,group_A,5,5,5,5,5,5.0000
R075,group_A,5,5,5,5,5,5.0000
R076,group_A,5,5,5,5,5,5.0000
R077,group_A,5,5,5,5,5,5.0000
R078,group_A,5,5,5,5,5,5.0000
R079,group_A,5,5,5,5,5,5.0000
R080,group_A,5,5,5,5,5,5.0000
R081,group_A,5,5,5,5,5,5.0000
R082,group_A,5,5,5,5,5,5.0000
R083,group_A,5,5,5,5,5,5.0000
R084,group_A,5,5,5,5,5,5.0000
R085,group_A,5,5,5,5,5,5.0000
R086,group_A,5,5,5,5,5,5.0000
R087,group_A,5,5,5,5,5,5.0000
R088,group_A,5,5,5,5,5,5.0000
R089,group_A,5,5,5,5,5,5.0000
R090,group_A,5,5,5,5,5,5.0000
R091,group_A,5,5,5,5,5,5.0000
R092,group_A,5,5,5,5,5,5.0000
R093,group_A,5,5,5,5,5,5.0000
R094,group_A,5,5,5,5,5,5.0000
R095,group_A,5,5,5,5,5,5.0000
R096,group_A,5,5,5,5,5,5.0000
R097,group_A,5,5,5,5,5,5.0000
R098,group_A,5,5,5,5,5,5.0000
R099,group_A,5,5,5,5,5,5.0000
R100,group_A,5,5,5,5,5,5.0000
R101,group_A,5,5,5,5,5,5.0000
R102,group_A,5,5,5,5,5,5.0000
R103,group_A,5,5,5,5,5,5.0000
R104,group_A,5,5,5,5,5,5.0000
R105,group_A,5,5,5,5,5,5.0000
R106,group_A,5,5,5,5,5,5.0000
R107,group_A,5,5,5,5,5,5.0000
R108,group_A,5,5,5,5,5,5.0000
R109,group_A,5,5,5,5,5,5.0000
R110,group_A,5,5,5,5,5,5.0000
R111,group_A,5,5,5,5,5,5.0000
R112,group_A,5,5,5,5,5,5.0000
R113,group_A,5,5,5,5,5,5.0000
R114,group_A,5,5,5,5,5,5.0000
R115,group_A,5,5,5,5,5,5.0000
R116,group_A,5,5,5,5,5,5.0000
R117,group_A,5,5,5,5,5,5.0000
R118,group_A,5,5,5,5,5,5.0000
R119,group_A,5,5,5,5,5,5.0000
R120,group_A,5,5,5,5,5,5.0000
R121,group_A,5,5,5,5,5,5.0000
R122,group_A,5,5,5,5,5,5.0000
R123,group_A,5,5,5,5,5,5.0000
R124,group_A,5,5,5,5,5,5.0000
R125,group_A,5,5,5,5,5,5.0000
R126,group_A,5,5,5,5,5,5.0000
R127,group_A,5,5,5,5,5,5.0000
R128,group_A,5,5,5,5,5,5.0000
R129,group_A,5,5,5,5,5,5.0000
R130,group_A,5,5,5,5,5,5.0000
R131,group_A,5,5,5,5,5,5.0000
R132,group_A,5,5,5,5,5,5.0000
R133,group_A,5,5,5,5,5,5.0000
R134,group_A,5,5,5,5,5,5.0000
R135,group_A,5,5,5,5,5,5.0000
R136,group_A,5,5,5,5,5,5.0000
R137,group_A,5,5,5,5,5,5.0000
R138,group_A,5,5,5,5,5,5.0000
R139,group_A,5,5,5,5,5,5.0000
R140,group_A,5,5,5,5,5,5.0000
R141,group_A,5,5,5,5,5,5.0000
R142,group_A,5,5,5,5,5,5.0000
R143,group_A,5,5,5,5,5,5.0000
R144,group_A,5,5,5,5,5,5.0000
R145,group_A,5,5,5,5,5,5.0000
R146,group_A,5,5,5,5,5,5.0000
R147,group_A,5,5,5,5,5,5.0000
R148,group_A,5,5,5,5,5,5.0000
R149,group_A,5,5,5,5,5,5.0000
R150,group_A,5,5,5,5,5,5.0000
R151,group_B,5,5,5,5,5,5.0000
R152,group_B,5,5,5,5,5,5.0000
R153,group_B,5,5,5,5,5,5.0000
R154,group_B,5,5,5,5,5,5.0000
R155,group_B,5,5,5,5,5,5.0000
R156,group_B,5,5,5,5,5,5.0000
R157,group_B,5,5,5,5,5,5.0000
R158,group_B,5,3,5,5,5,4.6000
R159,group_B,5,4,5,5,5,4.8000
R160,group_B,5,5,5,5,5,5.0000
R161,group_B,5,5,5,5,5,5.0000
R162,group_B,5,5,5,5,5,5.0000
R163,group_B,5,5,5,5,5,5.0000
R164,group_B,5,5,5,5,5,5.0000
R165,group_B,5,4,5,5,5,4.8000
R166,group_B,5,5,5,5,5,5.0000
R167,group_B,5,5,5,5,5,5.0000
R168,group_B,5,5,5,5,5,5.0000
R169,group_B,5,5,5,5,5,5.0000
R170,group_B,5,5,5,5,5,5.0000
R171,group_B,5,5,5,5,5,5.0000
R172,group_B,5,5,5,5,5,5.0000
R173,group_B,5,5,5,5,5,5.0000
R174,group_B,5,5,5,5,5,5.0000
R175,group_B,5,5,5,5,5,5.0000
R176,group_B,5,5,5,5,5,5.0000
R177,group_B,5,5,5,5,5,5.0000
R178,group_B,5,4,5,5,4,4.6000
R179,group_B,5,5,5,5,5,5.0000
R180,group_B,5,5,5,5,5,5.0000
R181,group_B,5,4,5,5,5,4.8000
R182,group_B,5,5,5,5,5,5.0000
R183,group_B,5,2,5,5,5,4.4000
R184,group_B,5,5,5,5,5,5.0000
R185,group_B,5,5,5,5,5,5.0000
R186,group_B,5,5,5,5,5,5.0000
R187,group_B,5,5,5,5,5,5.0000
R188,group_B,5,5,5,5,5,5.0000
R189,group_B,5,5,5,5,5,5.0000
R190,group_B,5,5,5,5,5,5.0000
R191,group_B,5,5,5,5,5,5.0000
R192,group_B,5,5,5,5,5,5.0000
R193,group_B,5,5,5,5,5,5.0000
R194,group_B,5,5,5,5,5,5.0000
R195,group_B,5,5,5,5,5,5.0000
R196,group_B,5,5,5,5,5,5.0000
R197,group_B,5,5,5,5,5,5.0000
R198,group_B,5,4,5,5,5,4.8000
R199,group_B,5,5,5,5,5,5.0000
R200,group_B,5,5,5,5,5,5.0000
R201,group_B,5,5,5,5,5,5.0000
R202,group_B,5,5,5,5,5,5.0000
R203,group_B,5,5,5,5,5,5.0000
R204,group_B,5,5,5,5,5,5.0000
R205,group_B,5,5,5,5,5,5.0000
R206,group_B,5,5,5,5,5,5.0000
R207,group_B,5,5,5,5,5,5.0000
R208,group_B,5,5,5,5,5,5.0000
R209,group_B,5,5,5,5,5,5.0000
R210,group_B,5,5,5,5,5,5.0000
R211,group_B,5,5,5,5,5,5.0000
R212,group_B,5,5,5,5,5,5.0000
R213,group_B,5,5,5,5,5,5.0000
R214,group_B,5,5,5,5,5,5.0000
R215,group_B,5,5,5,5,5,5.0000
